name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Allan Hills 84249,851,Valid,H5,23.4,Found,01/01/1984,-76.98428,156.87774,(-76.98428; 156.87774)
Allan Hills 84250,852,Valid,EH3,10,Found,01/01/1984,-76.75691,158.91155,(-76.75691; 158.91155)
Allan Hills 84251,853,Valid,H5,34.3,Found,01/01/1984,-76.95501,156.93549,(-76.95501; 156.93549)
Allan Hills 84252,854,Valid,H6,3.1,Found,01/01/1984,-76.89871,156.79221,(-76.89871; 156.79221)
Allan Hills 84253,855,Valid,H5,7.1,Found,01/01/1984,-76.96688,156.92161,(-76.96688; 156.92161)
Allan Hills 84254,856,Valid,EH3,2,Found,01/01/1984,-76.99141,156.97536,(-76.99141; 156.97536)
Allan Hills 84255,857,Valid,LL6,11.3,Found,01/01/1984,-76.9522,156.93703,(-76.9522; 156.93703)
Allan Hills 84256,858,Valid,L6,3,Found,01/01/1984,-76.7065,158.7323,(-76.7065; 158.7323)
Allan Hills 84257,859,Valid,H6,18.8,Found,01/01/1984,-76.96217,156.93101,(-76.96217; 156.93101)
Allan Hills 84258,860,Valid,L5,2.6,Found,01/01/1984,-76.9061,156.8297,(-76.9061; 156.8297)
Allan Hills 84259,861,Valid,H5,23.1,Found,01/01/1984,-76.7137,158.78281,(-76.7137; 158.78281)
Allan Hills 84260,862,Valid,H5,14.6,Found,01/01/1984,-76.73253,159.18976,(-76.73253; 159.18976)
Allan Hills 84261,863,Valid,L6,5.1,Found,01/01/1984,-76.90584,156.83258,(-76.90584; 156.83258)
Allan Hills 84262,864,Valid,H6,15.3,Found,01/01/1984,-76.72034,158.68736,(-76.72034; 158.68736)
Allan Hills 84263,865,Valid,H5,4.6,Found,01/01/1984,-76.75813,158.92426,(-76.75813; 158.92426)
Allan Hills 84264,866,Valid,L6,137.6,Found,01/01/1984,-77.05037,157.19686,(-77.05037; 157.19686)
Allan Hills 85001,867,Valid,Eucrite-Mg rich,212.3,Found,01/01/1985,-76.8389,156.45213,(-76.8389; 156.45213)
Allan Hills 85002,868,Valid,CK4,437.7,Found,01/01/1985,-76.91661,156.53194,(-76.91661; 156.53194)
Allan Hills 85003,869,Valid,CO3.5,50.1,Found,01/01/1985,-76.90286,156.86987,(-76.90286; 156.86987)
Allan Hills 85004,870,Valid,CM2,8.4,Found,01/01/1985,-77.035,157.18083,(-77.035; 157.18083)
Allan Hills 85005,871,Valid,CM2,18.9,Found,01/01/1985,-76.9776,156.9358,(-76.9776; 156.9358)
Allan Hills 85006,872,Valid,CV3,49,Found,01/01/1985,-76.85224,156.31748,(-76.85224; 156.31748)
Allan Hills 85007,873,Valid,CM2,82,Found,01/01/1985,-76.90541,156.88223,(-76.90541; 156.88223)
Allan Hills 85008,874,Valid,CM2,32.1,Found,01/01/1985,-76.83662,156.14151,(-76.83662; 156.14151)
Allan Hills 85009,875,Valid,CM2,46.6,Found,01/01/1985,-76.83697,156.14036,(-76.83697; 156.14036)
Allan Hills 85010,876,Valid,CM2,3.2,Found,01/01/1985,-76.83631,156.14247,(-76.83631; 156.14247)
Cumulus Hills 04046,32512,Valid,L5,9,Found,01/01/2003,,,
Allan Hills 85011,877,Valid,CM2,10.7,Found,01/01/1985,-76.82728,156.16645,(-76.82728; 156.16645)
Allan Hills 85012,878,Valid,CM2,3.9,Found,01/01/1985,-77.035,157.18333,(-77.035; 157.18333)
Allan Hills 85013,879,Valid,CM2,130.4,Found,01/01/1985,-76.89057,156.46268,(-76.89057; 156.46268)
Allan Hills 85014,880,Valid,L6,75,Found,01/01/1985,-76.91791,156.70947,(-76.91791; 156.70947)
Allan Hills 85015,881,Valid,Diogenite,3.2,Found,01/01/1985,-76.90892,156.52294,(-76.90892; 156.52294)
Allan Hills 85016,882,Valid,L6,1412,Found,01/01/1985,-76.99984,156.95922,(-76.99984; 156.95922)
Allan Hills 85017,883,Valid,L6,2361.4,Found,01/01/1985,-76.9033,156.75663,(-76.9033; 156.75663)
Allan Hills 85018,884,Valid,H6,811.8,Found,01/01/1985,-76.88268,156.49194,(-76.88268; 156.49194)
Allan Hills 85019,885,Valid,LL6,632.8,Found,01/01/1985,-76.91508,156.53178,(-76.91508; 156.53178)
Allan Hills 85020,886,Valid,H6,744.3,Found,01/01/1985,-76.90701,156.78603,(-76.90701; 156.78603)
Allan Hills 85021,887,Valid,H5,646.8,Found,01/01/1985,-76.85498,156.46606,(-76.85498; 156.46606)
Allan Hills 85022,888,Valid,L6,951.5,Found,01/01/1985,-76.84391,156.36709,(-76.84391; 156.36709)
Allan Hills 85023,889,Valid,H6,438.5,Found,01/01/1985,-76.83755,156.41507,(-76.83755; 156.41507)
Allan Hills 85024,890,Valid,H5,387.7,Found,01/01/1985,-76.84525,156.43343,(-76.84525; 156.43343)
Allan Hills 85025,891,Valid,H5,713,Found,01/01/1985,-76.85539,156.47991,(-76.85539; 156.47991)
Allan Hills 85026,892,Valid,L6,817.1,Found,01/01/1985,-76.85858,156.26751,(-76.85858; 156.26751)
Allan Hills 85027,893,Valid,L6,370.4,Found,01/01/1985,-76.91433,156.63032,(-76.91433; 156.63032)
Allan Hills 85028,894,Valid,H6,325.7,Found,01/01/1985,-76.84829,156.43594,(-76.84829; 156.43594)
Allan Hills 85029,895,Valid,L6,388.8,Found,01/01/1985,-76.83961,156.40872,(-76.83961; 156.40872)
Allan Hills 85030,896,Valid,H6,619.7,Found,01/01/1985,-76.88918,156.51355,(-76.88918; 156.51355)
Allan Hills 85031,897,Valid,H6,200.6,Found,01/01/1985,-76.89914,156.5252,(-76.89914; 156.5252)
Allan Hills 85032,898,Valid,H6,424.2,Found,01/01/1985,-76.86321,156.43632,(-76.86321; 156.43632)
Allan Hills 85033,899,Valid,L4,249.8,Found,01/01/1985,-76.86198,156.43418,(-76.86198; 156.43418)
Allan Hills 85034,900,Valid,L6,343.9,Found,01/01/1985,-76.92308,156.58744,(-76.92308; 156.58744)
Allan Hills 85035,901,Valid,LL6,420.1,Found,01/01/1985,-76.73732,159.39194,(-76.73732; 159.39194)
Allan Hills 85036,902,Valid,H6,231.5,Found,01/01/1985,-76.83831,156.33386,(-76.83831; 156.33386)
Allan Hills 85037,903,Valid,H6,141.2,Found,01/01/1985,-76.75225,159.38956,(-76.75225; 159.38956)
Allan Hills 85038,904,Valid,H5,124.9,Found,01/01/1985,-76.82632,156.13873,(-76.82632; 156.13873)
Allan Hills 85039,905,Valid,L6,140.2,Found,01/01/1985,-76.90414,156.68119,(-76.90414; 156.68119)
Allan Hills 85040,906,Valid,L6,95.7,Found,01/01/1985,-76.81776,156.03075,(-76.81776; 156.03075)
Allan Hills 85041,907,Valid,H6,168,Found,01/01/1985,-76.70547,159.38484,(-76.70547; 159.38484)
Allan Hills 85042,908,Valid,H5,127.9,Found,01/01/1985,-76.90211,156.8671,(-76.90211; 156.8671)
Allan Hills 85043,909,Valid,H5,204.7,Found,01/01/1985,-76.91425,156.5072,(-76.91425; 156.5072)
Allan Hills 85044,910,Valid,H6,104.8,Found,01/01/1985,-76.70541,159.38493,(-76.70541; 159.38493)
