name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Allan Hills 84076,678,Valid,H5,368.7,Found,01/01/1984,-76.99148,156.96855,(-76.99148; 156.96855)
Allan Hills 84077,679,Valid,H5,276.4,Found,01/01/1984,-76.96265,156.92887,(-76.96265; 156.92887)
Allan Hills 84078,680,Valid,H5,283.3,Found,01/01/1984,-77.0238,157.01072,(-77.0238; 157.01072)
Allan Hills 84079,681,Valid,L6,749.6,Found,01/01/1984,-76.90892,156.87924,(-76.90892; 156.87924)
Allan Hills 84080,682,Valid,L6,286.8,Found,01/01/1984,-76.89722,156.8853,(-76.89722; 156.8853)
Allan Hills 84081,683,Valid,LL6,612.3,Found,01/01/1984,-76.92365,156.95124,(-76.92365; 156.95124)
Allan Hills 84082,684,Valid,H6,556.6,Found,01/01/1984,-76.89074,157.05899,(-76.89074; 157.05899)
Allan Hills 84083,685,Valid,H6,419.7,Found,01/01/1984,-76.76679,158.79649,(-76.76679; 158.79649)
Allan Hills 84084,686,Valid,H4,331.8,Found,01/01/1984,-76.89684,156.88501,(-76.89684; 156.88501)
Allan Hills 84085,687,Valid,H5,554.2,Found,01/01/1984,-76.72553,158.71679,(-76.72553; 158.71679)
Allan Hills 84086,688,Valid,L3.8,234,Found,01/01/1984,-77.04172,157.02258,(-77.04172; 157.02258)
Allan Hills 84087,689,Valid,L6,314.6,Found,01/01/1984,-76.90892,156.8798,(-76.90892; 156.8798)
Allan Hills 84088,690,Valid,H5,297.5,Found,01/01/1984,-76.90225,156.92287,(-76.90225; 156.92287)
Allan Hills 84089,691,Valid,H5,303.8,Found,01/01/1984,-76.90637,156.96454,(-76.90637; 156.96454)
Allan Hills 84090,692,Valid,L6,201.8,Found,01/01/1984,-76.82607,158.22142,(-76.82607; 158.22142)
Allan Hills 84091,693,Valid,H5,214.6,Found,01/01/1984,-77.03872,157.21351,(-77.03872; 157.21351)
Allan Hills 84092,694,Valid,L6,213.9,Found,01/01/1984,-76.89987,156.97472,(-76.89987; 156.97472)
Allan Hills 84093,695,Valid,H6,113.5,Found,01/01/1984,-76.86669,158.52076,(-76.86669; 158.52076)
Allan Hills 84094,696,Valid,H5,207.6,Found,01/01/1984,-76.87818,157.00095,(-76.87818; 157.00095)
Allan Hills 84095,697,Valid,L6,276.8,Found,01/01/1984,-76.93506,156.91791,(-76.93506; 156.91791)
Allan Hills 84096,698,Valid,LL6(?),293.6,Found,01/01/1984,-76.83027,158.31856,(-76.83027; 158.31856)
Allan Hills 84097,699,Valid,L6,388.7,Found,01/01/1984,-76.91001,156.72089,(-76.91001; 156.72089)
Allan Hills 84098,700,Valid,H5,260.5,Found,01/01/1984,-76.87519,156.98999,(-76.87519; 156.98999)
Allan Hills 84099,701,Valid,H5,150.3,Found,01/01/1984,-76.87679,156.99721,(-76.87679; 156.99721)
Allan Hills 84100,702,Valid,H5,110.3,Found,01/01/1984,-76.74282,158.83369,(-76.74282; 158.83369)
Allan Hills 84101,703,Valid,H6,220.9,Found,01/01/1984,-76.71667,159.66667,(-76.71667; 159.66667)
Allan Hills 84102,704,Valid,L6,213.9,Found,01/01/1984,-76.91024,156.79453,(-76.91024; 156.79453)
Allan Hills 84103,705,Valid,H4,137.5,Found,01/01/1984,-76.75705,158.76999,(-76.75705; 158.76999)
Allan Hills 84104,706,Valid,L6,201.1,Found,01/01/1984,-77.01648,156.97919,(-77.01648; 156.97919)
Allan Hills 84105,707,Valid,H6,260.9,Found,01/01/1984,-76.75498,158.76252,(-76.75498; 158.76252)
Allan Hills 84106,708,Valid,L6,94.7,Found,01/01/1984,-76.88744,156.93344,(-76.88744; 156.93344)
